x:-0.7497 y:-0.5480 z:+2.7859
x:-0.6622 y:-0.4954 z:+2.7436
x:-0.6024 y:-0.4564 z:+2.7056
x:-0.5185 y:-0.3946 z:+2.6570
x:-0.4378 y:-0.3263 z:+2.6165
x:-0.4186 y:-0.2958 z:+2.8247
x:-0.3416 y:-0.2833 z:+2.7701
x:-0.2503 y:-0.2696 z:+2.5206
x:-0.2062 y:-0.2715 z:+2.4780
x:-0.1415 y:-0.2735 z:+2.4272
x:-0.0986 y:-0.2705 z:+2.3838
x:-0.0576 y:-0.2680 z:+2.3652
x:-0.0171 y:-0.2816 z:+2.5111
x:+0.0260 y:-0.2726 z:+2.4688
x:+0.0842 y:-0.2390 z:+2.2371
x:+0.1317 y:-0.2422 z:+2.3809
x:+0.1802 y:-0.2050 z:+2.1593
x:+0.2163 y:-0.1871 z:+2.1222
x:+0.2718 y:-0.1584 z:+2.0771
x:+0.3081 y:-0.1374 z:+2.0574
x:+0.3613 y:-0.1006 z:+2.0144
x:+0.3959 y:-0.0745 z:+1.9889
x:+0.4304 y:-0.0466 z:+1.9664
x:+0.4958 y:-0.0080 z:+2.0701
x:+0.5711 y:+0.0399 z:+2.1959
x:+0.5824 y:+0.0846 z:+2.0044
x:+0.5917 y:+0.1263 z:+1.8436
x:+0.6187 y:+0.1151 z:+1.7985
x:+0.6658 y:+0.0992 z:+1.7602
x:+0.7619 y:+0.0927 z:+1.8417
x:+0.8602 y:+0.0947 z:+1.9668
x:+0.7944 y:+0.0761 z:+1.6329
x:+0.8253 y:+0.0770 z:+1.6147
x:+0.8498 y:+0.0787 z:+1.5833
x:+0.8847 y:+0.0837 z:+1.5779
x:+0.9826 y:+0.0997 z:+1.6795
