x:-0.7497 y:-0.5480 z:+2.7859
x:-0.6616 y:-0.4943 z:+2.5430
x:-0.7988 y:-0.5805 z:+3.0729
x:-0.6940 y:-0.5160 z:+2.7689
x:-0.5808 y:-0.4451 z:+2.5019
x:-0.6325 y:-0.4765 z:+2.7260
x:-0.6609 y:-0.4907 z:+2.9699
x:-0.5497 y:-0.4194 z:+2.6889
x:-0.5185 y:-0.3946 z:+2.6570
x:-0.4938 y:-0.3714 z:+2.6510
x:-0.4674 y:-0.3510 z:+2.6477
x:-0.4378 y:-0.3263 z:+2.6165
x:-0.3818 y:-0.2913 z:+2.4073
x:-0.4186 y:-0.2958 z:+2.8247
x:-0.3921 y:-0.2777 z:+2.8170
x:-0.3664 y:-0.2797 z:+2.7889
x:-0.3416 y:-0.2833 z:+2.7701
x:-0.3205 y:-0.2883 z:+2.7660
x:-0.2503 y:-0.2696 z:+2.5206
x:-0.2280 y:-0.2697 z:+2.4921
x:-0.2062 y:-0.2715 z:+2.4780
x:-0.1811 y:-0.2705 z:+2.4379
x:-0.1639 y:-0.2735 z:+2.4542
x:-0.1573 y:-0.2833 z:+2.5228
x:-0.1415 y:-0.2735 z:+2.4272
x:-0.1286 y:-0.2927 z:+2.5840
x:-0.0986 y:-0.2705 z:+2.3838
x:-0.0538 y:-0.2504 z:+2.2080
x:-0.0576 y:-0.2680 z:+2.3652
x:-0.0402 y:-0.2851 z:+2.5317
x:+0.0043 y:-0.2599 z:+2.3172
x:+0.0241 y:-0.2549 z:+2.2927
x:+0.0595 y:-0.2317 z:+2.1164
x:+0.0639 y:-0.2469 z:+2.2714
x:+0.0842 y:-0.2390 z:+2.2371
x:+0.1036 y:-0.2336 z:+2.2212
x:+0.1228 y:-0.2287 z:+2.2202
x:+0.1419 y:-0.2209 z:+2.1952
x:+0.1612 y:-0.2137 z:+2.1839
x:+0.1802 y:-0.2050 z:+2.1593
x:+0.1989 y:-0.1970 z:+2.1516
x:+0.2163 y:-0.1871 z:+2.1222
x:+0.2354 y:-0.1780 z:+2.1126
x:+0.2539 y:-0.1703 z:+2.1062
x:+0.2718 y:-0.1584 z:+2.0771
x:+0.2905 y:-0.1483 z:+2.0694
x:+0.3081 y:-0.1374 z:+2.0574
x:+0.3250 y:-0.1244 z:+2.0295
x:+0.3209 y:-0.1113 z:+1.8951
x:+0.3379 y:-0.1001 z:+1.8851
x:+0.3777 y:-0.0873 z:+1.9948
x:+0.3959 y:-0.0745 z:+1.9889
x:+0.4139 y:-0.0606 z:+1.9778
x:+0.4304 y:-0.0466 z:+1.9664
x:+0.4460 y:-0.0309 z:+1.9465
x:+0.4958 y:-0.0080 z:+2.0701
x:+0.5141 y:+0.0099 z:+2.0597
x:+0.5557 y:+0.0211 z:+2.2246
x:+0.5480 y:+0.0460 z:+2.0300
x:+0.5661 y:+0.0664 z:+2.0221
x:+0.5824 y:+0.0846 z:+2.0044
x:+0.5745 y:+0.1070 z:+1.8454
x:+0.5917 y:+0.1263 z:+1.8436
x:+0.6041 y:+0.1220 z:+1.8156
x:+0.6187 y:+0.1151 z:+1.7985
x:+0.6671 y:+0.1219 z:+1.9393
x:+0.6823 y:+0.1157 z:+1.9187
x:+0.6988 y:+0.1098 z:+1.9034
x:+0.7750 y:+0.1120 z:+2.0493
x:+0.7906 y:+0.1067 z:+2.0260
x:+0.8081 y:+0.1030 z:+2.0118
x:+0.8255 y:+0.0996 z:+1.9957
x:+0.8407 y:+0.0962 z:+1.9753
x:+0.8169 y:+0.0902 z:+1.8677
x:+0.8084 y:+0.0853 z:+1.7967
x:+0.7820 y:+0.0766 z:+1.6496
x:+0.7944 y:+0.0761 z:+1.6329
x:+0.7577 y:+0.0708 z:+1.5202
x:+0.8253 y:+0.0770 z:+1.6147
x:+0.8387 y:+0.0775 z:+1.6020
x:+0.9115 y:+0.0861 z:+1.6982
x:+0.8618 y:+0.0805 z:+1.5682
x:+0.8847 y:+0.0837 z:+1.5779
x:+0.9042 y:+0.0874 z:+1.5768
x:+0.9826 y:+0.0997 z:+1.6795
x:+1.0284 y:+0.1083 z:+1.7398
